,t_s,power_w,util_gpu_pct,Model,Batch_Size,Total_Requests,output_len,Wall_start_s,Wall_end_s,Duration,energy_slice_Wh,cumulative_energy_Wh,Duration Per Request
0,0.000179133,438.979,98,Llama-3.1-8B,8,24,1024,1641.988957,1658.852782,16.86382426,0.006096931,0.006096931,0.702659344
1,0.055661137,438.979,98,Llama-3.1-8B,8,24,1024,1641.988957,1658.852782,16.86382426,0.006096931,0.012193861,0.702659344
2,0.105803241,438.979,98,Llama-3.1-8B,8,24,1024,1641.988957,1658.852782,16.86382426,0.006096931,0.018290792,0.702659344
3,0.15598329,436.423,76,Llama-3.1-8B,8,24,1024,1641.988957,1658.852782,16.86382426,0.006061431,0.024352222,0.702659344
4,0.206119972,436.423,76,Llama-3.1-8B,8,24,1024,1641.988957,1658.852782,16.86382426,0.006061431,0.030413653,0.702659344
5,0.256249045,436.084,76,Llama-3.1-8B,8,24,1024,1641.988957,1658.852782,16.86382426,0.006056722,0.036470375,0.702659344
6,0.306386768,436.084,76,Llama-3.1-8B,8,24,1024,1641.988957,1658.852782,16.86382426,0.006056722,0.042527097,0.702659344
7,0.356568902,436.446,100,Llama-3.1-8B,8,24,1024,1641.988957,1658.852782,16.86382426,0.00606175,0.048588847,0.702659344
8,0.406701313,436.446,100,Llama-3.1-8B,8,24,1024,1641.988957,1658.852782,16.86382426,0.00606175,0.054650597,0.702659344
9,0.456843758,437.084,100,Llama-3.1-8B,8,24,1024,1641.988957,1658.852782,16.86382426,0.006070611,0.060721208,0.702659344
10,0.506976072,437.084,100,Llama-3.1-8B,8,24,1024,1641.988957,1658.852782,16.86382426,0.006070611,0.066791819,0.702659344
11,0.557109459,437.071,100,Llama-3.1-8B,8,24,1024,1641.988957,1658.852782,16.86382426,0.006070431,0.07286225,0.702659344
12,0.60723947,437.071,100,Llama-3.1-8B,8,24,1024,1641.988957,1658.852782,16.86382426,0.006070431,0.078932681,0.702659344
13,0.657375074,436.664,100,Llama-3.1-8B,8,24,1024,1641.988957,1658.852782,16.86382426,0.006064778,0.084997458,0.702659344
14,0.707554773,436.664,100,Llama-3.1-8B,8,24,1024,1641.988957,1658.852782,16.86382426,0.006064778,0.091062236,0.702659344
15,0.757694294,438.731,100,Llama-3.1-8B,8,24,1024,1641.988957,1658.852782,16.86382426,0.006093486,0.097155722,0.702659344
16,0.807865165,438.731,100,Llama-3.1-8B,8,24,1024,1641.988957,1658.852782,16.86382426,0.006093486,0.103249208,0.702659344
17,0.857998332,439.189,100,Llama-3.1-8B,8,24,1024,1641.988957,1658.852782,16.86382426,0.006099847,0.109349056,0.702659344
18,0.908130046,439.189,100,Llama-3.1-8B,8,24,1024,1641.988957,1658.852782,16.86382426,0.006099847,0.115448903,0.702659344
19,0.958260775,438.841,100,Llama-3.1-8B,8,24,1024,1641.988957,1658.852782,16.86382426,0.006095014,0.121543917,0.702659344
20,1.008450672,438.841,100,Llama-3.1-8B,8,24,1024,1641.988957,1658.852782,16.86382426,0.006095014,0.127638931,0.702659344
21,1.058564505,447.167,100,Llama-3.1-8B,8,24,1024,1641.988957,1658.852782,16.86382426,0.006210653,0.133849583,0.702659344
22,1.108693168,447.167,100,Llama-3.1-8B,8,24,1024,1641.988957,1658.852782,16.86382426,0.006210653,0.140060236,0.702659344
23,1.158820305,446.764,100,Llama-3.1-8B,8,24,1024,1641.988957,1658.852782,16.86382426,0.006205056,0.146265292,0.702659344
24,1.208942492,446.764,100,Llama-3.1-8B,8,24,1024,1641.988957,1658.852782,16.86382426,0.006205056,0.152470347,0.702659344
25,1.259069612,447.453,100,Llama-3.1-8B,8,24,1024,1641.988957,1658.852782,16.86382426,0.006214625,0.158684972,0.702659344
26,1.309197141,447.453,100,Llama-3.1-8B,8,24,1024,1641.988957,1658.852782,16.86382426,0.006214625,0.164899597,0.702659344
27,1.359329384,447.612,100,Llama-3.1-8B,8,24,1024,1641.988957,1658.852782,16.86382426,0.006216833,0.171116431,0.702659344
28,1.409485485,447.612,100,Llama-3.1-8B,8,24,1024,1641.988957,1658.852782,16.86382426,0.006216833,0.177333264,0.702659344
29,1.459617943,448.168,100,Llama-3.1-8B,8,24,1024,1641.988957,1658.852782,16.86382426,0.006224556,0.183557819,0.702659344
30,1.509762308,448.168,100,Llama-3.1-8B,8,24,1024,1641.988957,1658.852782,16.86382426,0.006224556,0.189782375,0.702659344
31,1.559900139,448.465,100,Llama-3.1-8B,8,24,1024,1641.988957,1658.852782,16.86382426,0.006228681,0.196011056,0.702659344
32,1.610030746,448.465,100,Llama-3.1-8B,8,24,1024,1641.988957,1658.852782,16.86382426,0.006228681,0.202239736,0.702659344
33,1.660159184,448.997,100,Llama-3.1-8B,8,24,1024,1641.988957,1658.852782,16.86382426,0.006236069,0.208475806,0.702659344
34,1.710291867,448.997,100,Llama-3.1-8B,8,24,1024,1641.988957,1658.852782,16.86382426,0.006236069,0.214711875,0.702659344
35,1.760417838,449.429,100,Llama-3.1-8B,8,24,1024,1641.988957,1658.852782,16.86382426,0.006242069,0.220953944,0.702659344
36,1.810555507,449.429,100,Llama-3.1-8B,8,24,1024,1641.988957,1658.852782,16.86382426,0.006242069,0.227196014,0.702659344
37,1.860684087,450.129,100,Llama-3.1-8B,8,24,1024,1641.988957,1658.852782,16.86382426,0.006251792,0.233447806,0.702659344
38,1.910805762,450.129,100,Llama-3.1-8B,8,24,1024,1641.988957,1658.852782,16.86382426,0.006251792,0.239699597,0.702659344
39,1.960933019,450.956,100,Llama-3.1-8B,8,24,1024,1641.988957,1658.852782,16.86382426,0.006263278,0.245962875,0.702659344
40,2.011062446,450.956,100,Llama-3.1-8B,8,24,1024,1641.988957,1658.852782,16.86382426,0.006263278,0.252226153,0.702659344
41,2.061179483,451.18,100,Llama-3.1-8B,8,24,1024,1641.988957,1658.852782,16.86382426,0.006266389,0.258492542,0.702659344
42,2.111300553,451.18,100,Llama-3.1-8B,8,24,1024,1641.988957,1658.852782,16.86382426,0.006266389,0.264758931,0.702659344
43,2.161485436,451.619,100,Llama-3.1-8B,8,24,1024,1641.988957,1658.852782,16.86382426,0.006272486,0.271031417,0.702659344
