query_size,date,API Provider,Model,Context Window,Function Calling,JSON Mode,OpenAI Compatible,License,API ID,Footnotes,Artificial Analysis Intelligence Index,Omniscience Index,GDPval-AA(Elo-500)/2000,AA-Briefcase,Terminal-Bench Hard,Terminal-Bench v2.1,𝜏²-Bench Telecom,𝜏³-Banking,AA-LCR,AA-Omniscience Accuracy,AA-Omniscience Non-Hallucination Rate,Humanity's Last Exam,GPQA Diamond,SciCode,IFBench,CritPt,APEX-Agents-AA,ITBench-AA,MMMU Pro,LiveCodeBench,AIME 2025,AutomationBench-AA,Harvey LAB-AA,BlendedUSD/1M Tokens,Input PriceUSD/1M Tokens,Output PriceUSD/1M Tokens,MedianTokens/s,P5Tokens/s,P25Tokens/s,P75Tokens/s,P95Tokens/s,MedianFirst Chunk (s),First AnswerToken (s),P5First Chunk (s),P25First Chunk (s),P75First Chunk (s),P95First Chunk (s),TotalResponse (s),ReasoningTime (s),Further Analysis
long,2026-07-19,Anthropic,Claude Fable 5 (with fallback),1M,,,,Proprietary,claude-fable-5,--,60,40,63%,"1,583",63%,85%,99%,27%,70%,61%,45%,53%,93%,60%,63%,29%,--,--,--,--,--,49%,94%,$7.70,$10.00,$50.00,61,45,57,68,79,116.24,116.24,37.80,63.51,151.50,214.22,124.47,--,ModelProvider
long,2026-07-19,Google,Claude Fable 5 (with fallback),1M,,,,Proprietary,claude-fable-5,--,60,40,63%,"1,583",63%,85%,99%,27%,70%,61%,45%,53%,93%,60%,63%,29%,--,--,--,--,--,49%,94%,$7.70,$10.00,$50.00,68,46,55,73,81,132.80,132.80,41.44,47.75,174.61,237.93,140.19,--,ModelProvider
long,2026-07-19,Microsoft Azure,Claude Fable 5 (with fallback),1M,,,,Proprietary,claude-fable-5,--,60,40,63%,"1,583",63%,85%,99%,27%,70%,61%,45%,53%,93%,60%,63%,29%,--,--,--,--,--,49%,94%,$14.00,$10.00,$50.00,64,47,56,72,77,116.83,116.83,42.13,61.16,183.36,272.97,124.69,--,ModelProvider
long,2026-07-19,OpenAI,GPT-5.6 Sol (max),1M,,,,Proprietary,gpt-5.6-sol,--,59,22,62%,"1,496",66%,88%,85%,33%,74%,59%,11%,47%,94%,56%,73%,32%,--,56%,83%,--,--,51%,87%,$4.35,$5.00,$30.00,59,38,48,70,111,130.34,130.34,56.90,90.16,201.71,387.15,138.83,--,ModelProvider
long,2026-07-19,OpenAI,GPT-5.6 Sol (xhigh),1M,,,,Proprietary,gpt-5.6-sol,--,58,21,60%,--,61%,90%,85%,33%,71%,58%,11%,45%,93%,56%,71%,29%,--,--,83%,--,--,--,--,$4.35,$5.00,$30.00,56,46,51,65,94,51.31,51.31,12.30,31.80,132.00,197.74,60.16,--,ModelProvider
long,2026-07-19,Kimi,Kimi K3,1.05M,,,,Proprietary,kimi-k3,--,57,18,59%,"1,545",--,85%,--,33%,75%,46%,49%,44%,94%,59%,--,23%,41%,48%,81%,--,--,53%,95%,$2.31,$3.00,$15.00,62,59,61,65,72,1.99,34.24,1.78,1.94,2.06,4.39,42.30,32.24,ModelProvider
long,2026-07-19,OpenAI,GPT-5.6 Sol (high),1M,,,,Proprietary,gpt-5.6-sol,--,56,20,57%,--,62%,87%,83%,31%,68%,57%,12%,44%,93%,57%,69%,26%,--,--,82%,--,--,--,--,$4.35,$5.00,$30.00,52,39,43,65,92,12.87,12.87,4.84,8.18,50.90,111.63,22.50,--,ModelProvider
long,2026-07-19,Anthropic,Claude Opus 4.8 (max),1M,,,,Proprietary,claude-opus-4-8,--,56,27,55%,"1,354",58%,85%,94%,28%,68%,47%,64%,46%,92%,53%,62%,21%,--,--,--,--,--,49%,91%,$3.85,$5.00,$25.00,57,42,45,70,80,28.87,28.87,4.98,8.09,61.21,105.91,37.69,--,ModelProvider
long,2026-07-19,Amazon Bedrock,Claude Opus 4.8 (max),1M,,,,Proprietary,global.anthropic.claude-opus-4-8,--,56,27,55%,"1,354",58%,85%,94%,28%,68%,47%,64%,46%,92%,53%,62%,21%,--,--,--,--,--,49%,91%,$3.85,$5.00,$25.00,63,42,48,71,79,20.88,20.88,4.95,9.27,72.99,306.78,28.83,--,ModelProvider
long,2026-07-19,Google,Claude Opus 4.8 (max),1M,,,,Proprietary,claude-opus-4-8,--,56,27,55%,"1,354",58%,85%,94%,28%,68%,47%,64%,46%,92%,53%,62%,21%,--,--,--,--,--,49%,91%,$3.85,$5.00,$25.00,59,43,48,70,82,18.44,18.44,3.66,8.10,45.32,77.44,26.91,--,ModelProvider
