query_size,date,API Provider,Model,Context Window,Function Calling,JSON Mode,OpenAI Compatible,License,API ID,Footnotes,Artificial Analysis Intelligence Index,Omniscience Index,GDPval-AA(Elo-500)/2000,AA-Briefcase,Terminal-Bench Hard,Terminal-Bench 2.1,Terminal-Bench 4.0,𝜏²-Bench Telecom,𝜏³-Banking,AA-LCR,AA-Omniscience Accuracy,AA-Omniscience Non-Hallucination Rate,Humanity's Last Exam,GPQA Diamond,SciCode,IFBench,CritPt,APEX-Agents-AA,ITBench-AA,MMMU Pro,LiveCodeBench,AIME 2025,AutomationBench-AA,Harvey LAB-AA,Cost per TaskUSD,Input PriceUSD/1M Tokens,Output PriceUSD/1M Tokens,Cache Hit PriceUSD/1M Tokens,Cache Write PriceUSD/1M Tokens,MedianTokens/s,P5Tokens/s,P25Tokens/s,P75Tokens/s,P95Tokens/s,MedianFirst Chunk (s),First AnswerToken (s),P5First Chunk (s),P25First Chunk (s),P75First Chunk (s),P95First Chunk (s),TotalResponse (s),ReasoningTime (s),Further Analysis
long,2026-09-20,Anthropic,Claude Fable 5.1 (max with fallback),1M,,,,Proprietary,claude-fable-5-1,--,53,43,62%,"1,678",--,91%,52%,--,47%,85%,67%,27%,59%,94%,63%,--,30%,--,--,--,--,--,59%,93%,$7.63,$10.00,$50.00,$0.25,$12.50,70,61,65,71,72,262.21,262.21,74.50,223.48,275.35,349.78,269.39,--,ModelProvider
long,2026-09-20,Anthropic,Claude Fable 5.1 (xhigh with fallback),1M,,,,Proprietary,claude-fable-5-1,--,53,42,61%,"1,669",--,91%,55%,--,46%,83%,66%,29%,59%,93%,61%,--,31%,--,--,--,--,--,58%,93%,$5.98,$10.00,$50.00,$0.25,$12.50,61,44,51,67,80,157.09,157.09,50.61,68.50,193.98,284.65,165.27,--,ModelProvider
long,2026-09-20,OpenAI,GPT-6 Astra (max),1M,,,,Proprietary,gpt-6-astra,--,53,43,52%,"1,569",--,88%,59%,--,41%,81%,63%,49%,55%,96%,56%,--,32%,--,--,87%,--,--,68%,--,$3.26,$10.00,$50.00,$1.00,$12.50,59,40,48,75,92,260.42,260.42,207.21,236.96,324.32,463.96,268.84,--,ModelProvider
long,2026-09-20,Amazon Bedrock,GPT-6 Astra (max),524k,,,,Proprietary,openai.gpt-6-astra,--,53,43,52%,"1,569",--,88%,59%,--,41%,81%,63%,49%,55%,96%,56%,--,32%,--,--,87%,--,--,68%,--,$3.26,$10.00,$50.00,$1.00,$12.50,76,59,64,94,109,267.42,267.42,204.57,229.07,324.26,530.32,274.04,--,ModelProvider
long,2026-09-20,OpenAI,GPT-6 Astra (xhigh),1M,,,,Proprietary,gpt-6-astra,--,52,43,51%,"1,544",--,89%,60%,--,43%,80%,62%,52%,55%,96%,56%,--,31%,--,--,86%,--,--,67%,--,$2.31,$10.00,$50.00,$1.00,$12.50,54,38,47,71,84,154.72,154.72,50.94,108.50,212.03,389.86,164.00,--,ModelProvider
long,2026-09-20,Anthropic,Claude Fable 5.1 (high with fallback),1M,,,,Proprietary,claude-fable-5-1,--,51,41,56%,"1,592",--,90%,52%,--,43%,84%,65%,31%,56%,91%,59%,--,30%,--,--,--,--,--,55%,93%,$3.91,$10.00,$50.00,$0.25,$12.50,55,41,48,62,79,14.70,14.70,4.04,6.79,30.77,43.72,23.78,--,ModelProvider
long,2026-09-20,OpenAI,GPT-6 Astra (high),1M,,,,Proprietary,gpt-6-astra,--,51,44,49%,"1,507",--,90%,54%,--,40%,80%,61%,55%,53%,95%,55%,--,29%,--,--,86%,--,--,67%,--,$1.73,$10.00,$50.00,$1.00,$12.50,52,37,45,69,86,36.07,36.07,10.89,25.15,100.95,193.79,45.62,--,ModelProvider
long,2026-09-20,Amazon Bedrock,Claude Opus 5 (max),1M,,,,Proprietary,global.anthropic.claude-opus-5,--,51,37,60%,"1,673",--,89%,49%,--,42%,79%,61%,39%,55%,93%,56%,--,29%,--,--,85%,--,--,57%,93%,$5.86,$5.00,$25.00,$0.50,$6.25,53,41,48,63,85,69.12,69.12,4.90,27.79,94.82,188.14,78.51,--,ModelProvider
long,2026-09-20,Anthropic,Claude Opus 5 (max),1M,,,,Proprietary,claude-opus-5,--,51,37,60%,"1,673",--,89%,49%,--,42%,79%,61%,39%,55%,93%,56%,--,29%,--,--,85%,--,--,57%,93%,$5.86,$5.00,$25.00,$0.50,$6.25,55,42,48,62,96,56.84,56.84,10.66,30.84,116.98,259.80,65.88,--,ModelProvider
long,2026-09-20,Google,Claude Opus 5 (max),1M,,,,Proprietary,claude-opus-5,--,51,37,60%,"1,673",--,89%,49%,--,42%,79%,61%,39%,55%,93%,56%,--,29%,--,--,85%,--,--,57%,93%,$9.38,$5.00,$25.00,$0.50,$6.25,53,42,48,62,73,48.59,48.59,14.69,28.39,89.65,181.73,57.94,--,ModelProvider
